Trade_ID,Scenario,Trade_Date,Trader,Desk,Instrument,Asset_Class,Quantity,Price,Currency,Counterparty,Book,Notes
T9000,SCEN1,2025-08-05 14:37:37,omar.khan,FI-EMEA,SPX_OPT,Equity,50,195.52,USD,CP012,Book4,
T9001,SCEN2,2025-08-10 06:04:15,omar.khan,Equities-APAC,MSFT.O,Equity,100,24.41,USD,CP007,Book4,
T9002,SCEN3,2025-02-08 13:59:34,joe.trader,Equities-APAC,JPM.N,Equity,500,19.52,EUR,CP001,Book6,
T9003,SCEN4,2025-03-30 12:28:50,maria.g,Equities-APAC,CDS_UK,Derivatives,500,276.78,USD,CP018,Book2,
T9004,SCEN5,2025-03-22 20:21:16,joe.trader,Equities-APAC,DBR.X,Equity,50,76.82,JPY,CP003,Book5,
T9005,SCEN1,2025-06-28 21:16:01,sara.r,FI-EMEA,GOVBOND10Y,Fixed Income,200,135.62,GBP,CP018,Book7,
T9006,SCEN2,2025-06-27 06:41:14,sara.r,Derivatives-APAC,CDS_UK,Derivatives,500,208.66,USD,CP011,Book7,
T9007,SCEN3,2025-08-26 12:53:58,sara.r,FX-NA,DBR.X,Equity,100,106.56,JPY,CP011,Book3,
T9008,SCEN4,2025-05-21 05:08:43,maria.g,FX-NA,CDS_UK,Derivatives,50,169.54,EUR,CP001,Book3,
T9009,SCEN5,2025-08-31 07:16:11,sara.r,FI-EMEA,SPX_OPT,Equity,1000,244.38,GBP,CP011,Book5,
T9010,SCEN1,2025-04-06 16:08:37,sara.r,Derivatives-APAC,MSFT.O,Equity,200,178.47,EUR,CP007,Book2,
T9011,SCEN2,2025-03-24 21:07:44,sara.r,FI-EMEA,NIKK.N,Equity,100,191.46,USD,CP004,Book5,
T9012,SCEN3,2025-06-18 12:04:27,li.chen,FI-EMEA,GOVBOND10Y,Fixed Income,100,280.97,JPY,CP005,Book6,
T9013,SCEN4,2025-09-02 02:14:13,li.chen,Derivatives-APAC,JPM.N,Equity,200,223.71,GBP,CP006,Book1,
T9014,SCEN5,2025-07-18 01:16:03,omar.khan,FX-NA,CDS_UK,Derivatives,100,75.96,EUR,CP001,Book7,
T9015,SCEN1,2025-05-18 02:15:28,sara.r,Derivatives-APAC,GOVBOND10Y,Fixed Income,1000,110.41,JPY,CP003,Book2,
